customer_id	 qtde_compras 	valor_produtos	nota_revisao
03d01c3308507d5d861af0d89b65beee	1	33	4
70760f5ca54f7826fbc14b679eb949bd	1	79.99	5
43cd92deaa3d542fa32fdf4ca3089f51	6	240	2
676ea4c495818f6654dd38d006cfb1d7	6	86.5	5
8702a62684cd9a0ad5a391017c6939d6	4	166.67	2
b154a09d611816a2bd59fa2582e5beb8	3	24.99	5
efd22fcffe47d73526c48448b1c47292	4	149.9	10
2de7c1adffd1bb406b6bd0b76ddfe85e	1	179.9	4
a2f0e5f633e77e713c7e49a836876c78	2	44.99	6
ad1cbc8c0b2b1bcd16739bf4f609fe1b	2	177.99	10
9ac79dbd56c788bdaa3fd33476b5e31e	5	81.5	9
fef96c428a08854cecacd8074d64a961	4	99.9	9
b1dbcba06e3cd2a7730e15b92d39210f	6	34.9	1
b8fa8e6d8f3fab19a56eff647e21eb37	7	119.9	8
82958ac08ce23a52ec58455d42ee50be	7	59	10
adb07b9e00ba6e36eaa6972dcce7f0d0	5	28.9	3
286377acb883b9f000fb16b91729a5d6	2	140.7	7
0ad7e82a4d0ffbd93647edb8df8e19f9	1	19	8
57690c2fc610a75de4875a2b9f1826e6	2	69.99	10
be0c739d184760c9effb409a317c2cc1	7	53	7
4a626299fd0fb054ba3b4dd245ecb2ab	3	69.9	7
40efe1655a1721e65dce406440349517	5	108.12	6
06a0072ff4abdf1a5928eb6a66f75246	5	199.99	7
e7b93896bfa38f23efa4770778f5e4a0	7	57.99	10
51bb4e7ac0c888104aecba5a46ec01b1	3	18.9	4
12b11f992889101946980981fb471ab2	6	59.9	9
1579af2301d214c58898416457287574	4	34.99	5
634ac2ca3280b01fbacfd73c3374cd02	6	99.99	10
712b75336797a9b64ca4ebdad576add6	2	220	3
b8355c60d2d4ed37c4a50fbd96d629cf	6	155	7
